=== START CHECK: 04/07/2026, 22.15.09 ===
Fetching all series from Supabase...
✅ MATCH: "2 Broke Girls" matches "2 Broke Girls"
✅ MATCH: "Marvel's Jessica Jones" matches "Marvel's Jessica Jones"
✅ MATCH: "Our Last Crusade or the Rise of a New World" matches "Our Last Crusade or the Rise of a New World"
✅ MATCH: "Cells at Work! CODE BLACK" matches "Cells at Work! CODE BLACK"
✅ MATCH: "One Piece" matches "One Piece"
✅ MATCH: "Secret Garden" matches "Secret Garden"
✅ MATCH: "The Amazing World of Gumball" matches "The Amazing World of Gumball"
✅ MATCH: "The Tatami Galaxy" matches "The Tatami Galaxy"
✅ MATCH: "Berserk" matches "Berserk"
✅ MATCH: "InuYasha" matches "InuYasha"
✅ MATCH: "The Black Swindler" matches "The Black Swindler"
✅ MATCH: "Enlightened" matches "Enlightened"
✅ MATCH: "Teen Wolf" matches "Teen Wolf"
✅ MATCH: "Sungkyunkwan Scandal" matches "Sungkyunkwan Scandal"
✅ MATCH: "Shameless" matches "Shameless"
✅ MATCH: "Dongjae, the Good or the Bastard" matches "Dongjae, the Good or the Bastard"
✅ MATCH: "My Girlfriend Is a Gumiho" matches "My Girlfriend Is a Gumiho"
✅ MATCH: "Nikita" matches "Nikita"
✅ MATCH: "Luck" matches "Luck"
✅ MATCH: "The Big C" matches "The Big C"
✅ MATCH: "Pasta" matches "Pasta"
✅ MATCH: "Marco Polo" matches "Marco Polo"
✅ MATCH: "Fargo" matches "Fargo"
✅ MATCH: "Bosch" matches "Bosch"
✅ MATCH: "Peaky Blinders" matches "Peaky Blinders"
✅ MATCH: "Silicon Valley" matches "Silicon Valley"
✅ MATCH: "Better Call Saul" matches "Better Call Saul"
✅ MATCH: "Reply 1994" matches "Reply 1994"
✅ MATCH: "Cosmos" matches "Cosmos"
✅ MATCH: "Looking" matches "Looking"
✅ MATCH: "Getting On" matches "Getting On"
✅ MATCH: "Good Doctor" matches "Good Doctor"
✅ MATCH: "The Strain" matches "The Strain"
✅ MATCH: "Trapped in the Box" matches "Trapped in the Box"
✅ MATCH: "High School of the Dead" matches "High School of the Dead"
✅ MATCH: "Outlander" matches "Outlander"
✅ MATCH: "Orphan Black" matches "Orphan Black"
✅ MATCH: "I Hear Your Voice" matches "I Hear Your Voice"
✅ MATCH: "The Leftovers" matches "The Leftovers"
✅ MATCH: "Hanna" matches "Hanna"
✅ MATCH: "Love" matches "Love"
✅ MATCH: "Hello Ladies" matches "Hello Ladies"
✅ MATCH: "Halo" matches "Halo"
✅ MATCH: "Black Butler" matches "Black Butler"
✅ MATCH: "Mom" matches "Mom"
✅ MATCH: "Brooklyn Nine-Nine" matches "Brooklyn Nine-Nine"
✅ MATCH: "The 100" matches "The 100"
✅ MATCH: "Wait, My Youth" matches "Wait, My Youth"
✅ MATCH: "Extraordinary" matches "Extraordinary"
✅ MATCH: "Combatants Will Be Dispatched!" matches "Combatants Will Be Dispatched!"
✅ MATCH: "Midnight Diner" matches "Midnight Diner"
✅ MATCH: "The Blacklist" matches "The Blacklist"
✅ MATCH: "The Originals" matches "The Originals"
✅ MATCH: "True Detective" matches "True Detective"
✅ MATCH: "American Gods" matches "American Gods"
✅ MATCH: "Reply 1997" matches "Reply 1997"
✅ MATCH: "Masters of the Air" matches "Masters of the Air"
✅ MATCH: "Utawarerumono" matches "Utawarerumono"
✅ MATCH: "Under the Dome" matches "Under the Dome"
✅ MATCH: "Hunter x Hunter" matches "Hunter x Hunter"
✅ MATCH: "Spartacus" matches "Spartacus"
✅ MATCH: "Scream Queens" matches "Scream Queens"
✅ MATCH: "The Man in the High Castle" matches "The Man in the High Castle"
✅ MATCH: "Bloodline" matches "Bloodline"
✅ MATCH: "86 EIGHTY-SIX" matches "86 EIGHTY-SIX"
✅ MATCH: "The Ingenious One" matches "The Ingenious One"
✅ MATCH: "Softenni" matches "Softenni"
✅ MATCH: "The Devil Is a Part-Timer!" matches "The Devil Is a Part-Timer!"
✅ MATCH: "High School DxD" matches "High School DxD"
✅ MATCH: "Kill Me, Heal Me" matches "Kill Me, Heal Me"
✅ MATCH: "Ash vs Evil Dead" matches "Ash vs Evil Dead"
✅ MATCH: "Marvel's Iron Fist" matches "Marvel's Iron Fist"
✅ MATCH: "Marvel's Luke Cage" matches "Marvel's Luke Cage"
✅ MATCH: "Assassination Classroom" matches "Assassination Classroom"
✅ MATCH: "The Seven Deadly Sins" matches "The Seven Deadly Sins"
✅ MATCH: "Blood" matches "Blood"
✅ MATCH: "I'm Standing on a Million Lives" matches "I'm Standing on a Million Lives"
✅ MATCH: "The God of High School" matches "The God of High School"
✅ MATCH: "The Night Manager" matches "The Night Manager"
✅ MATCH: "Beyond the Boundary" matches "Beyond the Boundary"
✅ MATCH: "Incomplete Life" matches "Incomplete Life"
✅ MATCH: "Unbreakable Kimmy Schmidt" matches "Unbreakable Kimmy Schmidt"
✅ MATCH: "Healer" matches "Healer"
✅ MATCH: "Schitt's Creek" matches "Schitt's Creek"
✅ MATCH: "Togetherness" matches "Togetherness"
✅ MATCH: "Pinocchio" matches "Pinocchio"
✅ MATCH: "Birth of a Beauty" matches "Birth of a Beauty"
✅ MATCH: "Marvel's Agent Carter" matches "Marvel's Agent Carter"
✅ MATCH: "Parasyte -the maxim-" matches "Parasyte -the maxim-"
✅ MATCH: "Yowamushi Pedal" matches "Yowamushi Pedal"
✅ MATCH: "Tokyo Ghoul" matches "Tokyo Ghoul"
✅ MATCH: "Unsolved Mysteries" matches "Unsolved Mysteries"
✅ MATCH: "I'm a Virgo" matches "I'm a Virgo"
✅ MATCH: "Sailor Moon Crystal" matches "Sailor Moon Crystal"
✅ MATCH: "BoJack Horseman" matches "BoJack Horseman"
✅ MATCH: "Fated to Love You" matches "Fated to Love You"
✅ MATCH: "Empress Ki" matches "Empress Ki"
✅ MATCH: "How to Get Away with Murder" matches "How to Get Away with Murder"
✅ MATCH: "The Knick" matches "The Knick"
✅ MATCH: "My Love from the Star" matches "My Love from the Star"
✅ MATCH: "Doctor Stranger" matches "Doctor Stranger"
✅ MATCH: "12 Monkeys" matches "12 Monkeys"
✅ MATCH: "Haikyu!!" matches "Haikyu!!"
✅ MATCH: "Heroes Reborn" matches "Heroes Reborn"
✅ MATCH: "Log Horizon" matches "Log Horizon"
✅ MATCH: "Big Little Lies" matches "Big Little Lies"
✅ MATCH: "She Professed Herself Pupil of the Wise Man" matches "She Professed Herself Pupil of the Wise Man"
✅ MATCH: "The Ramparts of Ice" matches "The Ramparts of Ice"
✅ MATCH: "The Last Ship" matches "The Last Ship"
✅ MATCH: "Ace of the Diamond" matches "Ace of the Diamond"
✅ MATCH: "Constantine" matches "Constantine"
✅ MATCH: "The Flash" matches "The Flash"
✅ MATCH: "Gotham" matches "Gotham"
✅ MATCH: "Yong Pal" matches "Yong Pal"
✅ MATCH: "Westworld" matches "Westworld"
✅ MATCH: "Lucifer" matches "Lucifer"
✅ MATCH: "Crazy Ex-Girlfriend" matches "Crazy Ex-Girlfriend"
✅ MATCH: "Charlotte" matches "Charlotte"
✅ MATCH: "Oh My Ghost" matches "Oh My Ghost"
✅ MATCH: "Ushio and Tora" matches "Ushio and Tora"
✅ MATCH: "I Remember You" matches "I Remember You"
✅ MATCH: "Sweet Tooth" matches "Sweet Tooth"
✅ MATCH: "Percy Jackson and the Olympians" matches "Percy Jackson and the Olympians"
✅ MATCH: "It's Okay, That's Love" matches "It's Okay, That's Love"
✅ MATCH: "Ballers" matches "Ballers"
✅ MATCH: "The Young Pope" matches "The Young Pope"
✅ MATCH: "Outbreak Company" matches "Outbreak Company"
✅ MATCH: "Supergirl" matches "Supergirl"
✅ MATCH: "Superstore" matches "Superstore"
✅ MATCH: "DC's Legends of Tomorrow" matches "DC's Legends of Tomorrow"
✅ MATCH: "Sound! Euphonium" matches "Sound! Euphonium"
✅ MATCH: "Mr. Robot" matches "Mr. Robot"
✅ MATCH: "Chef's Table" matches "Chef's Table"
✅ MATCH: "The Girl Who Sees Smells" matches "The Girl Who Sees Smells"
✅ MATCH: "Fear the Walking Dead" matches "Fear the Walking Dead"
✅ MATCH: "Marvel's The Defenders" matches "Marvel's The Defenders"
✅ MATCH: "Food Wars! Shokugeki no Soma" matches "Food Wars! Shokugeki no Soma"
✅ MATCH: "The Last Narc" matches "The Last Narc"
✅ MATCH: "Marvel's Cloak & Dagger" matches "Marvel's Cloak & Dagger"
✅ MATCH: "Love in the Moonlight" matches "Love in the Moonlight"
✅ MATCH: "Another Miss Oh" matches "Another Miss Oh"
✅ MATCH: "Animal Kingdom" matches "Animal Kingdom"
✅ MATCH: "Prince of Stride: Alternative" matches "Prince of Stride: Alternative"
✅ MATCH: "Battery" matches "Battery"
✅ MATCH: "The Great Passage" matches "The Great Passage"
✅ MATCH: "Re:ZERO -Starting Life in Another World-" matches "Re:ZERO -Starting Life in Another World-"
✅ MATCH: "Bungo Stray Dogs" matches "Bungo Stray Dogs"
✅ MATCH: "My Hero Academia" matches "My Hero Academia"
✅ MATCH: "Refresh Man" matches "Refresh Man"
✅ MATCH: "Girlboss" matches "Girlboss"
✅ MATCH: "Narcos" matches "Narcos"
✅ MATCH: "The Head" matches "The Head"
✅ MATCH: "Page Turner" matches "Page Turner"
✅ MATCH: "Van Helsing" matches "Van Helsing"
✅ MATCH: "KanColle: Kantai Collection" matches "KanColle: Kantai Collection"
✅ MATCH: "Taboo" matches "Taboo"
✅ MATCH: "Good Morning Call" matches "Good Morning Call"
✅ MATCH: "Wanted" matches "Wanted"
✅ MATCH: "Atelier" matches "Atelier"
✅ MATCH: "The Crown" matches "The Crown"
✅ MATCH: "A Series of Unfortunate Events" matches "A Series of Unfortunate Events"
✅ MATCH: "Vice Principals" matches "Vice Principals"
✅ MATCH: "Descendants of the Sun" matches "Descendants of the Sun"
✅ MATCH: "Signal" matches "Signal"
✅ MATCH: "Cheese in the Trap" matches "Cheese in the Trap"
✅ MATCH: "11.22.63" matches "11.22.63"
✅ MATCH: "Paper Girls" matches "Paper Girls"
✅ MATCH: "Oh My Venus" matches "Oh My Venus"
✅ MATCH: "Master of None" matches "Master of None"
✅ MATCH: "Preacher" matches "Preacher"
✅ MATCH: "Nirvana in Fire" matches "Nirvana in Fire"
✅ MATCH: "The Testament of Sister New Devil" matches "The Testament of Sister New Devil"
✅ MATCH: "The Shannara Chronicles" matches "The Shannara Chronicles"
✅ MATCH: "Koinaka" matches "Koinaka"
✅ MATCH: "Border" matches "Border"
✅ MATCH: "Reply 1988" matches "Reply 1988"
✅ MATCH: "One-Punch Man" matches "One-Punch Man"
✅ MATCH: "She Was Pretty" matches "She Was Pretty"
✅ MATCH: "Death Note" matches "Death Note"
✅ MATCH: "The Expanse" matches "The Expanse"
✅ MATCH: "Fallout" matches "Fallout"
❌ CORRUPTED: Series "Azur Lane: Slow Ahead!" (slug: azur-lane-slow-ahead-2021) has TMDB ID 109805 which belongs to "Anime AzurLane: Slow Ahead!" (Original: "アズールレーン びそくぜんしんっ！"). Resetting tmdb_id, status, overview, number_of_seasons...
   -> Deleting incorrect episodes for series "Azur Lane: Slow Ahead!"...
✅ MATCH: "Dr. Romantic" matches "Dr. Romantic"
✅ MATCH: "Weightlifting Fairy Kim Bok-joo" matches "Weightlifting Fairy Kim Bok-joo"
✅ MATCH: "The Full-Time Wife Escapist" matches "The Full-Time Wife Escapist"
✅ MATCH: "Trollhunters: Tales of Arcadia" matches "Trollhunters: Tales of Arcadia"
✅ MATCH: "Tomorrow with You" matches "Tomorrow with You"
✅ MATCH: "Drifters" matches "Drifters"
✅ MATCH: "Guardian: The Lonely and Great God" matches "Guardian: The Lonely and Great God"
✅ MATCH: "Insecure" matches "Insecure"
✅ MATCH: "Dirk Gently's Holistic Detective Agency" matches "Dirk Gently's Holistic Detective Agency"
✅ MATCH: "Travelers" matches "Travelers"
✅ MATCH: "The Disastrous Life of Saiki K." matches "The Disastrous Life of Saiki K."
✅ MATCH: "B-PROJECT" matches "B-PROJECT"
✅ MATCH: "The Grand Tour" matches "The Grand Tour"
✅ MATCH: "The Tick" matches "The Tick"
✅ MATCH: "Boruto: Naruto Next Generations" matches "Boruto: Naruto Next Generations"
✅ MATCH: "Love Like the Galaxy" matches "Love Like the Galaxy"
✅ MATCH: "Marvel's Runaways" matches "Marvel's Runaways"
✅ MATCH: "The K2" matches "The K2"
✅ MATCH: "Golden Time" matches "Golden Time"
✅ MATCH: "High Maintenance" matches "High Maintenance"
✅ MATCH: "Star Trek: Discovery" matches "Star Trek: Discovery"
✅ MATCH: "Legion" matches "Legion"
✅ MATCH: "The Exorcist" matches "The Exorcist"
✅ MATCH: "Cinderella and Four Knights" matches "Cinderella and Four Knights"
✅ MATCH: "Designated Survivor" matches "Designated Survivor"
✅ MATCH: "The Legend of the Blue Sea" matches "The Legend of the Blue Sea"
✅ MATCH: "Hello, My Twenties!" matches "Hello, My Twenties!"
✅ MATCH: "Quarry" matches "Quarry"
✅ MATCH: "Shooter" matches "Shooter"
✅ MATCH: "Greenleaf" matches "Greenleaf"
✅ MATCH: "13 Reasons Why" matches "13 Reasons Why"
✅ MATCH: "Fight for My Way" matches "Fight for My Way"
✅ MATCH: "Osamake: Romcom Where the Childhood Friend Won't Lose" matches "Osamake: Romcom Where the Childhood Friend Won't Lose"
✅ MATCH: "Love O2O" matches "Love O2O"
✅ MATCH: "Stranger Things" matches "Stranger Things"
✅ MATCH: "Queen of the South" matches "Queen of the South"
✅ MATCH: "The Good Place" matches "The Good Place"
✅ MATCH: "Jealousy Incarnate" matches "Jealousy Incarnate"
✅ MATCH: "Voltron: Legendary Defender" matches "Voltron: Legendary Defender"
✅ MATCH: "Hwarang: The Poet Warrior Youth" matches "Hwarang: The Poet Warrior Youth"
✅ MATCH: "Scarlet Heart: Ryeo" matches "Scarlet Heart: Ryeo"
✅ MATCH: "Beautiful Gong Shim" matches "Beautiful Gong Shim"
✅ MATCH: "Bring It On, Ghost" matches "Bring It On, Ghost"
✅ MATCH: "Secret City" matches "Secret City"
✅ MATCH: "W: Two Worlds Apart" matches "W: Two Worlds Apart"
✅ MATCH: "Doctors" matches "Doctors"
✅ MATCH: "Secret Healer" matches "Secret Healer"
✅ MATCH: "Ingobernable" matches "Ingobernable"
✅ MATCH: "Love Revolution" matches "Love Revolution"
✅ MATCH: "Man to Man" matches "Man to Man"
✅ MATCH: "Circle" matches "Circle"
✅ MATCH: "The Perfect Match" matches "The Perfect Match"
✅ MATCH: "Dark" matches "Dark"
✅ MATCH: "Mr. Mercedes" matches "Mr. Mercedes"
✅ MATCH: "Sharp Objects" matches "Sharp Objects"
✅ MATCH: "The Bride of Habaek" matches "The Bride of Habaek"
✅ MATCH: "Somewhere Between" matches "Somewhere Between"
✅ MATCH: "My Only Love Song" matches "My Only Love Song"
✅ MATCH: "Genius" matches "Genius"
✅ MATCH: "White Album 2" matches "White Album 2"
✅ MATCH: "You Are Wanted" matches "You Are Wanted"
✅ MATCH: "Ozark" matches "Ozark"
✅ MATCH: "My Kind of Country" matches "My Kind of Country"
✅ MATCH: "Dragon Raja -The Blazing Dawn-" matches "Dragon Raja -The Blazing Dawn-"
✅ MATCH: "The Gifted" matches "The Gifted"
✅ MATCH: "The Worst Witch" matches "The Worst Witch"
✅ MATCH: "Fauda" matches "Fauda"
✅ MATCH: "Workin' Moms" matches "Workin' Moms"
✅ MATCH: "The Legend of the Condor Heroes" matches "The Legend of the Condor Heroes"
✅ MATCH: "Natsume's Book of Friends" matches "Natsume's Book of Friends"
✅ MATCH: "The Handmaid's Tale" matches "The Handmaid's Tale"
✅ MATCH: "Santa Clarita Diet" matches "Santa Clarita Diet"
✅ MATCH: "Eternal Love" matches "Eternal Love"
✅ MATCH: "Masamune-kun's Revenge" matches "Masamune-kun's Revenge"
✅ MATCH: "Scum's Wish" matches "Scum's Wish"
✅ MATCH: "Miss Kobayashi's Dragon Maid" matches "Miss Kobayashi's Dragon Maid"
✅ MATCH: "My Shy Boss" matches "My Shy Boss"
✅ MATCH: "Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside" matches "Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside"
✅ MATCH: "Reborn to Master the Blade: From Hero-King to Extraordinary Squire ♀" matches "Reborn to Master the Blade: From Hero-King to Extraordinary Squire ♀"
✅ MATCH: "Voice" matches "Voice"
✅ MATCH: "The OA" matches "The OA"
✅ MATCH: "Riverdale" matches "Riverdale"
✅ MATCH: "One Day at a Time" matches "One Day at a Time"
✅ MATCH: "Chief Kim" matches "Chief Kim"
✅ MATCH: "The Sound of Your Heart" matches "The Sound of Your Heart"
✅ MATCH: "From Me to You: Kimi ni Todoke" matches "From Me to You: Kimi ni Todoke"
✅ MATCH: "Strong Woman Do Bong-Soon" matches "Strong Woman Do Bong-Soon"
✅ MATCH: "Gilmore Girls: A Year in the Life" matches "Gilmore Girls: A Year in the Life"
✅ MATCH: "Hirugao: Love Affairs in the Afternoon" matches "Hirugao: Love Affairs in the Afternoon"
✅ MATCH: "Tawawa on Monday" matches "Tawawa on Monday"
✅ MATCH: "American Vandal" matches "American Vandal"
✅ MATCH: "Barry" matches "Barry"
✅ MATCH: "Disenchantment" matches "Disenchantment"
✅ MATCH: "Live Up to Your Name" matches "Live Up to Your Name"
✅ MATCH: "Battle Game in 5 Seconds" matches "Battle Game in 5 Seconds"
✅ MATCH: "Absentia" matches "Absentia"
✅ MATCH: "Killing Eve" matches "Killing Eve"
✅ MATCH: "The Continental: From the World of John Wick" matches "The Continental: From the World of John Wick"
✅ MATCH: "My Golden Life" matches "My Golden Life"
✅ MATCH: "Save Me" matches "Save Me"
✅ MATCH: "Made in Abyss" matches "Made in Abyss"
✅ MATCH: "Alias Grace" matches "Alias Grace"
✅ MATCH: "Manhunt" matches "Manhunt"
✅ MATCH: "Reunited Worlds" matches "Reunited Worlds"
✅ MATCH: "Are You Human?" matches "Are You Human?"
✅ MATCH: "Inside the World's Toughest Prisons" matches "Inside the World's Toughest Prisons"
✅ MATCH: "Classroom of the Elite" matches "Classroom of the Elite"
✅ MATCH: "Strongest Deliveryman" matches "Strongest Deliveryman"
✅ MATCH: "School 2017" matches "School 2017"
✅ MATCH: "HAPPY!" matches "HAPPY!"
✅ MATCH: "CUE!" matches "CUE!"
✅ MATCH: "Nemesis" matches "Nemesis"
✅ MATCH: "Dynasty" matches "Dynasty"
✅ MATCH: "Le Mans: Racing Is Everything" matches "Le Mans: Racing Is Everything"
✅ MATCH: "Good Omens" matches "Good Omens"
✅ MATCH: "The Wheel of Time" matches "The Wheel of Time"
✅ MATCH: "The Witcher" matches "The Witcher"
✅ MATCH: "S.W.A.T." matches "S.W.A.T."
✅ MATCH: "The Alienist" matches "The Alienist"
✅ MATCH: "THE iDOLM@STER.KR" matches "THE iDOLM@STER.KR"
✅ MATCH: "Queen For Seven Days" matches "Queen For Seven Days"
✅ MATCH: "The Orville" matches "The Orville"
✅ MATCH: "A.P. Bio" matches "A.P. Bio"
✅ MATCH: "Young Sheldon" matches "Young Sheldon"
✅ MATCH: "Good Girls" matches "Good Girls"
✅ MATCH: "Black Lightning" matches "Black Lightning"
✅ MATCH: "Atypical" matches "Atypical"
✅ MATCH: "High-Rise Invasion" matches "High-Rise Invasion"
✅ MATCH: "Suspicious Partner" matches "Suspicious Partner"
✅ MATCH: "Krypton" matches "Krypton"
✅ MATCH: "CRISIS: Special Security Squad" matches "CRISIS: Special Security Squad"
✅ MATCH: "Cable Girls" matches "Cable Girls"
✅ MATCH: "Castle Rock" matches "Castle Rock"
✅ MATCH: "The Teenage Psychic" matches "The Teenage Psychic"
✅ MATCH: "Castlevania" matches "Castlevania"
✅ MATCH: "Radio Romance" matches "Radio Romance"
✅ MATCH: "Mother" matches "Mother"
✅ MATCH: "Laid-Back Camp" matches "Laid-Back Camp"
✅ MATCH: "Mosaic" matches "Mosaic"
✅ MATCH: "Mr. Sunshine" matches "Mr. Sunshine"
✅ MATCH: "One Strange Rock" matches "One Strange Rock"
✅ MATCH: "The Woman in the House Across the Street from the Girl in the Window" matches "The Woman in the House Across the Street from the Girl in the Window"
✅ MATCH: "Junji Ito Collection" matches "Junji Ito Collection"
✅ MATCH: "Lost in Space" matches "Lost in Space"
✅ MATCH: "Unnatural" matches "Unnatural"
✅ MATCH: "McMafia" matches "McMafia"
✅ MATCH: "Part-Time Idol" matches "Part-Time Idol"
✅ MATCH: "Titans" matches "Titans"
✅ MATCH: "9-1-1" matches "9-1-1"
✅ MATCH: "Violet Evergarden" matches "Violet Evergarden"
✅ MATCH: "The Terror" matches "The Terror"
✅ MATCH: "A Korean Odyssey" matches "A Korean Odyssey"
✅ MATCH: "Black Knight" matches "Black Knight"
✅ MATCH: "The Umbrella Academy" matches "The Umbrella Academy"
✅ MATCH: "Erased" matches "Erased"
✅ MATCH: "Just Between Lovers" matches "Just Between Lovers"
✅ MATCH: "Prison Playbook" matches "Prison Playbook"
✅ MATCH: "Carmen Sandiego" matches "Carmen Sandiego"
✅ MATCH: "Rikuoh" matches "Rikuoh"
✅ MATCH: "Harley Quinn" matches "Harley Quinn"
✅ MATCH: "TSUKIMICHI -Moonlit Fantasy-" matches "TSUKIMICHI -Moonlit Fantasy-"
✅ MATCH: "Big Mouth" matches "Big Mouth"
✅ MATCH: "Witch's Court" matches "Witch's Court"
✅ MATCH: "Jack Whitehall: Travels with My Father" matches "Jack Whitehall: Travels with My Father"
✅ MATCH: "Mad Dog" matches "Mad Dog"
